Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
142,"Saturday, Sep 10",NYM,A,STL,L,2,4,,70-72,5,12.0,Suppan,Trachsel,Isringhausen,2:50,N,48465,0.19,-6,,2005
143,"Sunday, Sep 11",NYM,A,STL,W,7,2,,71-72,5,12.0,Martinez,Morris,,2:38,D,45884,0.09,1,,2005
144,"Tuesday, Sep 13",NYM,H,WSN,L,2,4,,71-73,5,11.5,Majewski,Glavine,Cordero,3:08,N,34143,0.18,-1,,2005
145,"Wednesday, Sep 14",NYM,H,WSN,L,3,6,,71-74,5,11.5,Loaiza,Benson,Cordero,2:56,N,24049,0.08,-2,,2005
146,"Thursday, Sep 15",NYM,H,WSN,L,5,6,10,71-75,5,12.5,Bergmann,Hernandez,Majewski,3:35,D,21441,0.04,-3,,2005
147,"Friday, Sep 16",NYM,H,ATL,W,4,0,,72-75,5,11.5,Martinez,Smoltz,,2:04,N,37519,0.02,1,,2005
148,"Saturday, Sep 17",NYM,H,ATL,L,4,7,,72-76,5,12.5,Hudson,Trachsel,Farnsworth,3:09,D,34191,0.02,-1,,2005
149,"Sunday, Sep 18",NYM,H,ATL,W,4,1,,73-76,5,11.5,Glavine,Thomson,,2:18,D,31703,0,1,,2005
150,"Tuesday, Sep 20",NYM,H,FLA,W-wo,3,2,12,74-76,5,11.5,Heilman,Moehler,,3:35,N,21275,0.01,2,,2005
151,"Wednesday, Sep 21",NYM,H,FLA,W-wo,5,4,,75-76,5,10.5,Hernandez,Quantrill,,3:14,N,36793,0.01,3,,2005
152,"Thursday, Sep 22",NYM,H,FLA,L,1,2,,75-77,5,10.5,Willis,Martinez,Jones,2:18,N,25093,0.01,-1,,2005
153,"Friday, Sep 23",NYM,A,WSN,W,5,2,10,76-77,5,10.5,Hernandez,Majewski,Heilman,3:21,N,30194,0,1,,2005
154,"Saturday, Sep 24",NYM,A,WSN,W,5,2,,77-77,5,10.5,Glavine,Hernández,Hernandez,2:24,N,32467,0,2,,2005
155,"Sunday, Sep 25",NYM,A,WSN,W,6,5,,78-77,4,10.5,Padilla,Hughes,Heilman,3:13,D,29967,0,3,,2005
156,"Monday, Sep 26",NYM,A,PHI,W,6,5,,79-77,4,9.5,Takatsu,Urbina,Hernandez,3:07,N,28679,0,4,,2005
157,"Tuesday, Sep 27",NYM,A,PHI,W,3,2,,80-77,3,9.5,Padilla,Lieber,Heilman,3:01,N,36150,0,5,,2005
158,"Wednesday, Sep 28",NYM,A,PHI,L,6,16,,80-78,4,9.5,Padilla,Trachsel,,3:24,N,42250,0,-1,,2005
159,"Thursday, Sep 29",NYM,H,COL,W,11,0,,81-78,3,9.0,Glavine,Kim,,2:41,N,27570,0,1,,2005
160,"Friday, Sep 30",NYM,H,COL,W,3,2,,82-78,3,8.0,Benson,Kim,Heilman,2:34,N,29133,0,2,,2005
161,"Saturday, Oct 1",NYM,H,COL,W,3,1,,83-78,3,7.0,Seo,Esposito,Hernandez,2:31,N,36385,0,3,,2005
162,"Sunday, Oct 2",NYM,H,COL,L,3,11,,83-79,3,7.0,Cook,Zambrano,,2:46,D,47718,0,-1,,2005
1,"Monday, Apr 3",NYM,H,WSN,W,3,2,,1-0,1,Tied,Glavine,Hernández,Wagner,2:49,D,54371,1.05,1,,2006
2,"Wednesday, Apr 5",NYM,H,WSN,L,5,9,10,1-1,2,0.5,Cordero,Julio,,3:37,N,19557,1.13,-1,,2006
3,"Thursday, Apr 6",NYM,H,WSN,W,10,5,,2-1,1,up 0.5,Martinez,Ortiz,,3:33,N,25839,1.05,1,,2006
4,"Friday, Apr 7",NYM,H,FLA,W,9,3,,3-1,1,up 0.5,Trachsel,Vargas,,2:51,N,39761,1.15,2,,2006
5,"Sunday, Apr 9",NYM,H,FLA,W-wo,3,2,,4-1,1,up 2.0,Wagner,Martinez,,2:29,D,55255,1.18,3,,2006
6,"Tuesday, Apr 11",NYM,A,WSN,W,7,1,,5-1,1,up 2.0,Bannister,Ortiz,,2:51,D,40530,1.25,4,,2006
7,"Wednesday, Apr 12",NYM,A,WSN,W,3,1,,6-1,1,up 3.0,Martinez,Armas,Wagner,2:29,N,29985,1.3,5,,2006
8,"Thursday, Apr 13",NYM,A,WSN,W,13,4,,7-1,1,up 4.0,Zambrano,Hernández,,2:44,D,25465,1.31,6,,2006
9,"Friday, Apr 14",NYM,H,MIL,W,4,3,,8-1,1,up 4.0,Glavine,Capuano,Wagner,2:51,N,37489,1.2,7,,2006
10,"Saturday, Apr 15",NYM,H,MIL,L,2,8,,8-2,1,up 3.0,Ohka,Trachsel,,2:52,D,55831,1.21,-1,,2006
11,"Sunday, Apr 16",NYM,H,MIL,W,9,3,,9-2,1,up 4.0,Bannister,Sheets,,3:14,D,38119,1.19,1,,2006
12,"Monday, Apr 17",NYM,H,ATL,W,4,3,,10-2,1,up 5.0,Martinez,Sosa,Wagner,2:27,N,36867,1.39,2,,2006
13,"Tuesday, Apr 18",NYM,H,ATL,L,1,7,,10-3,1,up 4.0,Davies,Zambrano,,2:09,N,30322,1.41,-1,,2006
